replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_2,gen_3,20211122,m2-469,IMG_3713.JPG,20211122_IMG_3713,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3713.JPG,FALSE,r,8.63990425177075,2.08958738006946,2,1.81980497184453
replicate_2,gen_3,20211122,m2-466,IMG_3682.JPG,20211122_IMG_3682,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3682.JPG,FALSE,r,6.90550209721194,1.78435726622255,2,1.78435726622255
replicate_2,gen_3,20211122,m2-467,IMG_3695.JPG,20211122_IMG_3695,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3695.JPG,FALSE,l,4.90380255230939,4.17827298050139,2,2.19170391483665
replicate_2,gen_3,20211122,m2-471,IMG_3741.JPG,20211122_IMG_3741,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3741.JPG,FALSE,r,7.20176947652986,2.50086016220202,2,2.50675841730155
replicate_2,gen_3,20211122,m2-467,IMG_3693.JPG,20211122_IMG_3693,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3693.JPG,FALSE,l,4.48154562764229,5.23241429017094,2,2.11168364547811
replicate_2,gen_3,20211122,m2-471,IMG_3738.JPG,20211122_IMG_3738,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3738.JPG,FALSE,l,7.45257587362851,2.25507067612331,2,2.06010206010206
replicate_2,gen_3,20211123,m2-473,IMG_3767.JPG,20211123_IMG_3767,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3767.JPG,FALSE,l,5.27224832829974,2.52226521416097,2,2.52226521416097
replicate_2,gen_3,20211122,m2-468,IMG_3703.JPG,20211122_IMG_3703,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3703.JPG,FALSE,l,5.95788915839465,2.88416461140213,2,2.88416461140213
replicate_2,gen_3,20211122,m2-471,IMG_3744.JPG,20211122_IMG_3744,photos/replicate_2/gen_3/color_corrected/20211122-IMG_3744.JPG,FALSE,r,7.19530394985574,2.56989354293105,2,2.52910158193215
replicate_2,gen_3,20211123,m2-474,IMG_3776.JPG,20211123_IMG_3776,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3776.JPG,TRUE,l,5.85000528759722,2.20252458732707,2,2.02947595104646
replicate_2,gen_3,20211123,m2-474,IMG_3773.JPG,20211123_IMG_3773,photos/replicate_2/gen_3/color_corrected/20211123-IMG_3773.JPG,FALSE,r,7.17092995457805,2.28448481950753,2,1.99474061678221
