date,sire,dam,nr_offspring
2022/04/14,M2-768,F2-205,7
2022/04/14,M2-583,F2-166,7
2022/04/15,M2-431,F2-189,6
2022/04/15,M2-583,F2-166,7
2022/04/15,M2-549,F2-217,6
2022/04/15,M2-767,F2-213,7
2022/04/18,M2-651,F2-214,9
2022/04/18,M2-689,F2-231,9
2022/04/18,M2-654,F2-187,3
2022/04/18,M2-754,F2-175,7
2022/04/18,M2-544,F2-170,9
2022/04/18,M2-717,F2-180,12
2022/04/18,M2-431,F2-188,7
2022/04/18,M2-435,F2-190,14
2022/05/12,M3-418,F3-164,7
2022/05/13,M3-460,F3-202,8
2022/05/16,M3-551,F3-180,9
2022/05/16,M3-559,F3-188,3
2022/05/16,M3-674,F3-198,6
2022/05/16,M3-699,F3-207,4
2022/05/17,M3-654,F3-162,8
2022/05/17,M3-543,F3-194,4
2022/05/17,M3-518,F3-215,10
2022/05/17,M3-695,F3-220,18
2022/05/18,M3-591,F3-174,8
2022/05/18,M3-511,F3-205,3
2022/05/19,M3-528,F3-209,11
2022/05/19,M3-686,F3-212,7
2022/05/19,M3-481,F3-221,23
2022/05/19,M3-705,F3-227,5
2022/05/19,M3-703,F3-231,8
2022/05/19,M3-724,F3-238,9
2022/05/19,M3-603,F3-175,6
2022/05/19,M3-633,F3-176,5
2022/05/19,M3-427,F3-184,12
2022/05/20,M3-733,F3-166,5
2022/05/20,M3-603,F3-175,11
2022/05/20,M3-516,F3-216,9
2022/05/20,M3-521,F3-183,5
2022/05/20,M3-680,F3-199,6
2022/05/23,M3-481,F3-222,7
2022/05/23,M3-576,F3-229,10
